Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
80,6,4e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4350000.0,75000.0,2e-05,2e-05,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,49999.99999999999,25000.0,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.9e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4461538.461538462,76923.07692307692,1.95e-05,1.95e-05,3.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,51282.05128205128,25641.02564102564,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.9e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4461538.461538462,76923.07692307692,1.95e-05,1.95e-05,3.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,51282.05128205128,25641.02564102564,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,4.2e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4142857.142857143,71428.57142857143,2.1e-05,2.1e-05,4.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,47619.04761904762,23809.52380952381,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.8e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4578947.368421053,78947.36842105263,1.9e-05,1.9e-05,3.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,52631.57894736842,26315.78947368421,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.9e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4461538.461538462,76923.07692307692,1.95e-05,1.95e-05,3.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,51282.05128205128,25641.02564102564,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.9e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4461538.461538462,76923.07692307692,1.95e-05,1.95e-05,3.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,51282.05128205128,25641.02564102564,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.9e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4461538.461538462,76923.07692307692,1.95e-05,1.95e-05,3.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,51282.05128205128,25641.02564102564,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.7e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4702702.702702703,81081.08108108108,1.85e-05,1.85e-05,3.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,54054.05405405405,27027.027027027027,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,5e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,3480000.0,60000.0,2.5e-05,2.5e-05,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,40000.0,20000.0,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,7.1e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,2450704.2253521127,42253.52112676056,3.55e-05,3.55e-05,7.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,28169.01408450704,14084.50704225352,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,5e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,3480000.0,60000.0,2.5e-05,2.5e-05,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,40000.0,20000.0,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,4.2e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4142857.142857143,71428.57142857143,2.1e-05,2.1e-05,4.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,47619.04761904762,23809.52380952381,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
1900,17,3.003,5,0,1060,0,212,212,212.0,0.0,0,0,0.0,0.0,352.98035298035296,1.665001665001665,0.75075,0.4334457191119783,1.001088,0.0,3.003,0.75075,0.4334457191119783,1.001088,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100,0,1.665001665001665,0.0,212,212,212.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,212.0,212.0,0.0,0,0,0,0,0,0,5,1060,0,0,0,0,5,20,0,0,0,0,0,0,0,0
80,6,3.8e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4578947.368421053,78947.36842105263,1.9e-05,1.9e-05,3.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,52631.57894736842,26315.78947368421,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,7.2e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,2416666.6666666665,41666.66666666666,3.6e-05,3.6e-05,7.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,27777.777777777777,13888.888888888889,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.9e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4461538.461538462,76923.07692307692,1.95e-05,1.95e-05,3.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,51282.05128205128,25641.02564102564,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.9e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4461538.461538462,76923.07692307692,1.95e-05,1.95e-05,3.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,51282.05128205128,25641.02564102564,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.9e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4461538.461538462,76923.07692307692,1.95e-05,1.95e-05,3.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,51282.05128205128,25641.02564102564,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,7.3e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,2383561.6438356163,41095.890410958906,3.65e-05,3.65e-05,7.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,27397.260273972603,13698.6301369863,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.9e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4461538.461538462,76923.07692307692,1.95e-05,1.95e-05,3.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,51282.05128205128,25641.02564102564,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,6.3e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,2761904.761904762,47619.04761904762,3.15e-05,3.15e-05,6.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,31746.031746031746,15873.015873015873,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,4.7e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,3702127.659574468,63829.78723404256,2.35e-05,2.35e-05,4.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,42553.19148936171,21276.595744680853,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,9.1e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,1912087.912087912,32967.03296703297,4.55e-05,4.55e-05,9.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,21978.021978021978,10989.010989010989,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.8e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4578947.368421053,78947.36842105263,1.9e-05,1.9e-05,3.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,52631.57894736842,26315.78947368421,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,5e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,3480000.0,60000.0,2.5e-05,2.5e-05,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,40000.0,20000.0,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,6.8e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,2558823.529411765,44117.64705882353,3.4e-05,3.4e-05,6.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,29411.76470588236,14705.882352941177,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.7e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4702702.702702703,81081.08108108108,1.85e-05,1.85e-05,3.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,54054.05405405405,27027.027027027027,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,6.2e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,2806451.6129032257,48387.096774193546,3.1e-05,3.1e-05,6.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,32258.06451612903,16129.032258064515,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,0.000124,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,1403225.8064516129,24193.548387096773,6.2e-05,6.2e-05,0.000124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,16129.032258064515,8064.516129032258,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,5.4e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,3222222.2222222225,55555.55555555556,2.7e-05,2.7e-05,5.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,37037.03703703704,18518.51851851852,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,4.1e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4243902.439024391,73170.73170731707,2.05e-05,2.05e-05,4.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,48780.487804878045,24390.243902439022,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.7e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4702702.702702703,81081.08108108108,1.85e-05,1.85e-05,3.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,54054.05405405405,27027.027027027027,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,4.2e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4142857.142857143,71428.57142857143,2.1e-05,2.1e-05,4.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,47619.04761904762,23809.52380952381,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,5.9e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,2949152.542372881,50847.457627118645,2.95e-05,2.95e-05,5.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,33898.30508474576,16949.15254237288,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,4.7e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,3702127.659574468,63829.78723404256,2.35e-05,2.35e-05,4.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,42553.19148936171,21276.595744680853,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,4.1e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4243902.439024391,73170.73170731707,2.05e-05,2.05e-05,4.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,48780.487804878045,24390.243902439022,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.8e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4578947.368421053,78947.36842105263,1.9e-05,1.9e-05,3.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,52631.57894736842,26315.78947368421,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.8e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4578947.368421053,78947.36842105263,1.9e-05,1.9e-05,3.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,52631.57894736842,26315.78947368421,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,4.4e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,3954545.454545455,68181.81818181818,2.2e-05,2.2e-05,4.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,45454.545454545456,22727.272727272728,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.8e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4578947.368421053,78947.36842105263,1.9e-05,1.9e-05,3.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,52631.57894736842,26315.78947368421,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.9e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4461538.461538462,76923.07692307692,1.95e-05,1.95e-05,3.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,51282.05128205128,25641.02564102564,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,4.2e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4142857.142857143,71428.57142857143,2.1e-05,2.1e-05,4.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,47619.04761904762,23809.52380952381,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,4e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4350000.0,75000.0,2e-05,2e-05,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,49999.99999999999,25000.0,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.7e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4702702.702702703,81081.08108108108,1.85e-05,1.85e-05,3.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,54054.05405405405,27027.027027027027,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.9e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4461538.461538462,76923.07692307692,1.95e-05,1.95e-05,3.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,51282.05128205128,25641.02564102564,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,4e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4350000.0,75000.0,2e-05,2e-05,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,49999.99999999999,25000.0,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.8e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4578947.368421053,78947.36842105263,1.9e-05,1.9e-05,3.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,52631.57894736842,26315.78947368421,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,7.1e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,2450704.2253521127,42253.52112676056,3.55e-05,3.55e-05,7.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,28169.01408450704,14084.50704225352,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,4.1e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4243902.439024391,73170.73170731707,2.05e-05,2.05e-05,4.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,48780.487804878045,24390.243902439022,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,4.4e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,3954545.454545455,68181.81818181818,2.2e-05,2.2e-05,4.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,45454.545454545456,22727.272727272728,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,4e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4350000.0,75000.0,2e-05,2e-05,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,49999.99999999999,25000.0,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.8e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4578947.368421053,78947.36842105263,1.9e-05,1.9e-05,3.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,52631.57894736842,26315.78947368421,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
